Transaction,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Discount_Percentage,Season,Promotion,Channel
100000584,06/02/20 16:59,Jeremy Rowe Jr.,"Chicken, Dish Soap, Light Bulbs",3,36.07,Mobile Payment,Seattle,0,Spring,BOGO (Buy One Get One),Warehouse
100000585,26/09/25 19:17,Victoria Spencer,"Honey, Ketchup, Soda, Toothpaste",4,13.61,Mobile Payment,New York,5,Winter,None,Warehouse
100000586,20/06/23 23:53,Kaitlyn Cole,Salmon,1,66.05,Debit Card,Chicago,10,Summer,BOGO (Buy One Get One),Warehouse
100000587,20/01/24 13:02,Timothy Dorsey,"Vacuum Cleaner, Garden Hose, Soda, Light Bulbs",4,36.55,UPI,Chicago,5,Spring,None,Warehouse
100000588,16/06/25 3:59,Yvette Cook,"Salmon, Hair Gel",2,11.88,Credit Card,Los Angeles,15,Spring,BOGO (Buy One Get One),Warehouse
100000589,03/02/22 11:39,Bobby Martin,Ketchup,1,92.83,UPI,Houston,25,Summer,BOGO (Buy One Get One),Warehouse
100000590,25/12/21 16:22,Marie Lopez,"Toothpaste, Chicken",2,60.67,UPI,Chicago,20,Winter,BOGO (Buy One Get One),Warehouse
100000591,09/10/21 9:54,Amber Hamilton,Chicken,1,81.58,UPI,San Francisco,0,Winter,Discount on Selected Items,Warehouse
100000592,18/01/21 2:39,Marcus Brewer PhD,"Vacuum Cleaner, Light Bulbs, Shampoo, Honey",4,107.14,Mobile Payment,Chicago,0,Spring,BOGO (Buy One Get One),Warehouse
100000593,19/11/22 2:54,James Taylor,Shampoo,1,48.99,Mobile Payment,Seattle,10,Winter,None,Warehouse
100000594,03/01/23 14:10,Richard Ho,"Trash Bags, Chicken, Soda",3,31.92,Mobile Payment,New York,20,Winter,Discount on Selected Items,Warehouse
100000595,28/11/25 0:10,Michael Wilkinson,"Ketchup, Trash Bags, Soda, Bread",4,16.88,UPI,Chicago,25,Spring,None,Warehouse
100000596,19/07/22 15:53,Sara Taylor,"Ketchup, Toothpaste",2,29.72,Credit Card,San Francisco,5,Spring,BOGO (Buy One Get One),Warehouse
100000597,30/10/22 19:01,Jason Nelson,Toothpaste,1,29.06,Debit Card,Chicago,15,Winter,None,Warehouse
100000598,22/08/22 8:17,Valerie Bartlett,"Honey, Paper Towels, Shampoo",3,48.37,UPI,San Francisco,0,Summer,None,Warehouse
100000599,18/11/23 8:15,Lisa Arnold,Salmon,1,114.43,Credit Card,Chicago,5,Summer,None,Warehouse
100000600,07/07/20 15:56,Jacob Stanley,"Chicken, Honey, Toothpaste",3,17.38,Credit Card,New York,0,Autumn,None,Warehouse
100000601,28/10/21 8:20,Samuel Thompson,Salmon,1,111.81,Credit Card,Seattle,15,Summer,None,Warehouse
100000602,15/03/22 13:40,Kelly Lopez,"Mustard, Spinach, Toothpaste",3,37.27,Debit Card,Houston,30,Autumn,Discount on Selected Items,Warehouse
100000603,09/05/23 17:35,Kayla Perez,"Soda, Honey",2,92.82,Credit Card,Boston,15,Spring,Discount on Selected Items,Warehouse
100000604,18/08/23 21:19,Heather Ryan,"Olive Oil, Shaving Cream",2,91.16,UPI,Boston,30,Spring,None,Warehouse
100000605,11/01/22 9:25,Andrew Adams,"Soda, Toothpaste, Trash Bags, Olive Oil",4,13.67,Debit Card,Boston,5,Autumn,BOGO (Buy One Get One),Warehouse
100000606,19/03/24 5:39,Daniel Rodriguez,Shaving Cream,1,40.77,Credit Card,Seattle,10,Spring,Discount on Selected Items,Warehouse
100000607,25/03/25 0:38,Anne Ayala,"Paper Towels, Mustard, Bread, Olive Oil",4,92.58,Mobile Payment,San Francisco,15,Autumn,Discount on Selected Items,Warehouse
100000608,22/03/23 5:38,Louis Lutz,"Honey, Trash Bags",2,118.63,Debit Card,Seattle,5,Autumn,Discount on Selected Items,Warehouse
100000609,11/08/24 18:50,Juan Humphrey,"Olive Oil, Chicken, Trash Bags, Hair Gel",4,44.34,Mobile Payment,Chicago,25,Spring,Discount on Selected Items,Warehouse
100000610,07/07/21 10:04,Robert Adams,"Honey, Spinach, Bread",3,12.08,Debit Card,Seattle,0,Winter,BOGO (Buy One Get One),Warehouse
100000611,11/11/24 2:07,Charlene Jones,"Paper Towels, Honey",2,72.33,Debit Card,Seattle,15,Spring,Discount on Selected Items,Warehouse
100000612,02/05/22 15:54,Carla Perez,"Shampoo, Soda",2,49.14,Mobile Payment,Seattle,10,Autumn,None,Warehouse
100000613,02/02/21 17:57,Judy Finley,"Light Bulbs, Dish Soap",2,88.98,UPI,Houston,30,Spring,BOGO (Buy One Get One),Warehouse
100000614,05/12/21 17:22,Robert Cruz,"Shampoo, Paper Towels",2,49.82,UPI,Boston,25,Summer,BOGO (Buy One Get One),Warehouse
100000615,01/05/20 6:04,Dr. Frank Ewing,"Shaving Cream, Honey, Garden Hose, Shampoo",4,100.36,UPI,Boston,15,Summer,Discount on Selected Items,Warehouse
100000616,08/04/20 23:58,Jorge Dixon,"Dish Soap, Shampoo, Vacuum Cleaner",3,51.38,Debit Card,San Francisco,20,Spring,None,Warehouse
100000617,21/11/25 19:12,Lisa Myers,"Bread, Ketchup, Trash Bags, Honey",4,38.35,Mobile Payment,San Francisco,0,Spring,BOGO (Buy One Get One),Warehouse
100000618,15/09/23 12:54,Jordan Cherry,Olive Oil,1,100.23,Debit Card,Houston,30,Spring,None,Warehouse
100000619,30/12/20 9:04,Amanda Dyer,Toothpaste,1,105.61,Mobile Payment,San Francisco,0,Summer,BOGO (Buy One Get One),Warehouse
100000620,29/05/20 22:08,Barbara Brown,"Olive Oil, Shampoo, Salmon",3,70.28,Credit Card,Miami,5,Spring,BOGO (Buy One Get One),Warehouse
100000621,06/09/20 17:02,Kyle Thompson,"Vacuum Cleaner, Honey, Chicken",3,66.28,Credit Card,Houston,5,Autumn,Discount on Selected Items,Warehouse
100000622,27/09/24 8:57,Dalton Baker,"Chicken, Garden Hose",2,66.55,UPI,New York,5,Winter,BOGO (Buy One Get One),Warehouse
100000623,25/12/25 0:20,Charles Jones,Dish Soap,1,49.92,UPI,Seattle,25,Autumn,Discount on Selected Items,Warehouse
100000624,16/04/24 4:44,Tyler Brown,"Spinach, Toothpaste, Paper Towels",3,10.86,Mobile Payment,Boston,0,Winter,Discount on Selected Items,Warehouse
100000625,28/06/21 22:01,Dr. Gregory Brooks,Hair Gel,1,106.48,UPI,Seattle,15,Spring,None,Warehouse
100000626,27/02/21 16:52,Sean Lloyd,Ketchup,1,109.07,Mobile Payment,San Francisco,20,Autumn,None,Warehouse
100000627,28/06/20 14:26,David Davis,"Honey, Spinach",2,97.15,Credit Card,New York,10,Summer,BOGO (Buy One Get One),Warehouse
100000628,30/04/22 0:08,Meghan Woods,"Spinach, Olive Oil",2,117.06,Mobile Payment,Boston,0,Spring,None,Warehouse
100000629,06/02/22 16:28,Laurie Dunn,"Salmon, Dish Soap",2,93.67,Credit Card,Boston,30,Autumn,None,Warehouse
100000630,14/04/23 23:06,Maria Davis,"Salmon, Garden Hose",2,58.62,Mobile Payment,Los Angeles,10,Winter,None,Warehouse
100000631,09/07/21 4:12,Shannon Taylor,"Ketchup, Salmon, Olive Oil",3,27.11,Debit Card,San Francisco,5,Spring,BOGO (Buy One Get One),Warehouse
100000632,10/07/21 12:06,Luis Soto,Light Bulbs,1,31.12,Mobile Payment,Seattle,25,Autumn,Discount on Selected Items,Warehouse
100000633,11/11/20 19:22,Tina Andrews,Hair Gel,1,104.65,Mobile Payment,Boston,0,Winter,Discount on Selected Items,Warehouse
100000634,16/10/24 13:32,Vincent Martin,"Shaving Cream, Bread, Vacuum Cleaner, Light Bulbs",4,115.48,Debit Card,Miami,10,Autumn,BOGO (Buy One Get One),Warehouse
100000635,15/11/22 20:07,Janice Bowen,"Ketchup, Bread",2,37.8,UPI,Los Angeles,5,Autumn,Discount on Selected Items,Warehouse
100000636,01/09/23 22:00,Teresa Williams,"Bread, Trash Bags, Spinach, Paper Towels",4,55.97,Credit Card,Seattle,20,Autumn,BOGO (Buy One Get One),Warehouse
100000637,05/08/23 16:22,Ashlee Murray,"Hair Gel, Olive Oil",2,66.38,Mobile Payment,Seattle,15,Autumn,Discount on Selected Items,Warehouse
100000638,22/05/25 19:48,Madison Hudson,"Light Bulbs, Garden Hose",2,35.43,UPI,Seattle,10,Spring,BOGO (Buy One Get One),Warehouse
100000639,19/04/25 0:23,Robert Johnson,Bread,1,84.33,Credit Card,Miami,25,Winter,None,Warehouse
100000640,19/09/25 19:13,Andrew Hart,"Hair Gel, Ketchup",2,13.23,Mobile Payment,Houston,10,Spring,Discount on Selected Items,Warehouse
100000641,02/03/21 1:05,Jeremiah Marks,Mustard,1,44.8,Credit Card,San Francisco,15,Autumn,Discount on Selected Items,Warehouse
100000642,10/11/25 12:34,Monica Malone,Shaving Cream,1,98.88,Mobile Payment,San Francisco,25,Autumn,None,Warehouse
100000643,29/10/20 12:14,Amy Moses,"Garden Hose, Salmon, Trash Bags, Mustard",4,72.25,Debit Card,Los Angeles,30,Spring,Discount on Selected Items,Warehouse
100000644,05/10/24 4:29,Frederick Valentine,"Light Bulbs, Olive Oil, Spinach, Trash Bags",4,85.49,Credit Card,Los Angeles,20,Summer,Discount on Selected Items,Warehouse
100000645,07/06/20 8:35,Sharon Morrison,"Hair Gel, Chicken",2,54.47,Debit Card,Boston,25,Winter,Discount on Selected Items,Warehouse
100000646,07/08/25 16:18,Albert Carter,"Shampoo, Garden Hose, Vacuum Cleaner",3,118.76,Debit Card,New York,0,Winter,BOGO (Buy One Get One),Warehouse
100000647,05/09/22 11:42,Mr. James Lopez,Honey,1,107.26,Mobile Payment,Los Angeles,25,Summer,BOGO (Buy One Get One),Warehouse
100000648,29/07/25 3:29,Jessica Campbell,"Shampoo, Soda",2,89.55,UPI,Miami,5,Spring,None,Warehouse
100000649,14/05/22 1:14,Pamela Diaz,"Chicken, Hair Gel, Salmon, Trash Bags",4,61.55,Credit Card,Boston,0,Autumn,Discount on Selected Items,Warehouse
100000650,12/07/23 18:03,David Jones,"Honey, Vacuum Cleaner, Shaving Cream, Dish Soap",4,51.36,Debit Card,Boston,0,Spring,BOGO (Buy One Get One),Warehouse
100000651,15/09/20 18:47,Matthew Parsons,"Bread, Ketchup",2,62.49,Debit Card,San Francisco,30,Spring,Discount on Selected Items,Warehouse
100000652,20/10/24 15:48,Jessica Williams,"Soda, Hair Gel, Trash Bags",3,48.19,UPI,Seattle,25,Autumn,None,Warehouse
100000653,10/08/25 12:48,Mrs. Sarah Buckley,"Olive Oil, Ketchup, Dish Soap",3,112.69,Mobile Payment,Seattle,15,Summer,BOGO (Buy One Get One),Warehouse
100000654,20/02/24 1:24,Kimberly Johnson,"Hair Gel, Spinach, Mustard",3,34.76,Mobile Payment,Miami,0,Winter,None,Warehouse
100000655,21/09/21 7:19,Melissa Williams,"Trash Bags, Salmon, Light Bulbs",3,65.38,Mobile Payment,Houston,15,Summer,Discount on Selected Items,Warehouse
100000656,14/12/24 8:01,Ashley Davis,Honey,1,53.71,Mobile Payment,Seattle,0,Winter,BOGO (Buy One Get One),Warehouse
100000657,01/06/24 1:28,Ronald Rasmussen,Spinach,1,60.27,Mobile Payment,Seattle,25,Spring,BOGO (Buy One Get One),Warehouse
100000658,05/09/20 11:27,Kimberly Fernandez,Chicken,1,82.91,UPI,Chicago,15,Spring,Discount on Selected Items,Warehouse
100000659,17/06/21 18:06,Christopher Johnson,"Olive Oil, Ketchup, Chicken, Salmon",4,58.06,UPI,Miami,20,Winter,None,Warehouse
100000660,17/06/24 20:10,Jennifer Green,"Garden Hose, Paper Towels, Honey, Shampoo",4,96.22,Debit Card,Chicago,15,Spring,BOGO (Buy One Get One),Warehouse
100000661,27/06/20 21:12,Sheila Howell,"Chicken, Paper Towels, Light Bulbs, Olive Oil",4,63.71,Debit Card,San Francisco,10,Autumn,BOGO (Buy One Get One),Warehouse
100000662,11/12/21 11:02,Thomas Sherman,"Dish Soap, Salmon, Vacuum Cleaner",3,93.87,Credit Card,New York,10,Autumn,BOGO (Buy One Get One),Warehouse
100000663,28/07/23 1:31,Jacqueline Ruiz,"Hair Gel, Vacuum Cleaner, Olive Oil",3,42.96,Credit Card,New York,0,Spring,None,Warehouse
100000664,07/07/20 17:28,Danielle Cook,"Bread, Salmon",2,82.36,UPI,Los Angeles,10,Autumn,Discount on Selected Items,Warehouse
100000665,26/09/23 17:11,Christopher Myers,"Shampoo, Hair Gel, Mustard, Salmon",4,56.17,UPI,Chicago,10,Autumn,None,Warehouse
100000666,17/05/21 19:25,Ann Vargas,"Toothpaste, Salmon, Chicken, Trash Bags",4,57.7,Mobile Payment,Boston,30,Winter,Discount on Selected Items,Warehouse
100000667,05/08/22 12:57,Michael Ross,Toothpaste,1,42.97,Mobile Payment,Chicago,25,Winter,Discount on Selected Items,Warehouse
100000668,29/09/21 2:07,Christine Long,"Bread, Mustard, Shampoo, Toothpaste",4,70.88,UPI,New York,30,Winter,Discount on Selected Items,Warehouse
100000669,15/04/21 12:57,Daniel Washington,"Toothpaste, Ketchup, Trash Bags",3,37.66,Mobile Payment,Boston,30,Winter,Discount on Selected Items,Warehouse
100000670,05/04/25 10:46,Justin Calhoun,Bread,1,12.17,Mobile Payment,New York,10,Autumn,BOGO (Buy One Get One),Warehouse
100000671,03/01/20 23:54,Dr. Kristen Garza MD,"Dish Soap, Salmon",2,46.67,Credit Card,Chicago,5,Summer,None,Warehouse
100000672,12/05/24 21:37,John Tran,Toothpaste,1,25.79,Debit Card,Chicago,20,Spring,BOGO (Buy One Get One),Warehouse
100000673,22/12/20 12:54,Jesse Rodriguez,Vacuum Cleaner,1,14.86,Debit Card,Chicago,25,Summer,Discount on Selected Items,Warehouse
100000674,10/05/24 1:20,Michael Freeman,"Light Bulbs, Ketchup, Vacuum Cleaner, Hair Gel",4,82.31,UPI,New York,0,Autumn,Discount on Selected Items,Warehouse
100000675,15/02/21 2:13,Raymond Brown,Salmon,1,20.96,Credit Card,Houston,0,Summer,BOGO (Buy One Get One),Warehouse
100000676,23/07/24 21:04,Thomas Hale,Ketchup,1,105.68,Debit Card,Miami,0,Spring,Discount on Selected Items,Warehouse
100000677,21/09/20 15:53,Makayla Black,Shampoo,1,71.18,Debit Card,Seattle,5,Summer,BOGO (Buy One Get One),Warehouse
100000678,15/02/20 1:36,Charles White,"Trash Bags, Paper Towels, Chicken, Mustard",4,22.89,Credit Card,Los Angeles,5,Winter,Discount on Selected Items,Warehouse
100000679,12/09/20 19:34,Jonathan Walter,Soda,1,51.36,UPI,New York,0,Summer,None,Warehouse
100000680,03/04/23 15:09,Marie French,"Paper Towels, Vacuum Cleaner, Chicken",3,41.95,Debit Card,Boston,0,Spring,Discount on Selected Items,Warehouse
100000681,13/10/25 12:11,Richard Allen,"Dish Soap, Bread, Light Bulbs",3,116.22,Debit Card,San Francisco,10,Summer,None,Warehouse
100000682,20/10/24 15:05,Manuel Pruitt,"Salmon, Chicken, Shampoo, Soda",4,105.93,Credit Card,Miami,0,Summer,None,Warehouse
100000683,06/07/21 17:01,Laura Yoder,"Spinach, Chicken",2,42.88,UPI,Miami,0,Autumn,BOGO (Buy One Get One),Warehouse
100000684,22/07/20 15:58,Kenneth Ortiz,"Trash Bags, Light Bulbs, Soda, Mustard",4,10.23,Debit Card,New York,20,Autumn,None,Warehouse
100000685,21/06/25 3:54,Ricky Lopez,Soda,1,108.58,Debit Card,Houston,0,Spring,None,Warehouse
100000686,21/03/20 8:41,Kenneth Weeks,"Bread, Paper Towels",2,50.1,Credit Card,San Francisco,25,Autumn,Discount on Selected Items,Warehouse
100000687,05/03/25 17:54,Michael Brown,"Trash Bags, Shaving Cream",2,43.47,Credit Card,Houston,20,Autumn,None,Warehouse
100000688,16/04/24 3:55,David Moss,"Mustard, Toothpaste, Shampoo, Honey",4,92.57,UPI,Miami,30,Spring,None,Warehouse
100000689,12/07/24 23:22,Teresa Walker,"Toothpaste, Garden Hose, Bread, Shaving Cream",4,116.66,UPI,Chicago,30,Spring,None,Warehouse
100000690,13/03/24 17:53,Thomas Shelton,"Shampoo, Salmon, Chicken, Trash Bags",4,56.86,Mobile Payment,Seattle,25,Winter,Discount on Selected Items,Warehouse
100000691,02/02/24 4:12,Judy Thomas,"Salmon, Garden Hose, Toothpaste, Honey",4,14.59,UPI,San Francisco,25,Spring,None,Warehouse
100000692,28/05/21 20:23,Greg Love,"Light Bulbs, Hair Gel, Garden Hose, Paper Towels",4,30.98,Mobile Payment,Boston,10,Autumn,BOGO (Buy One Get One),Warehouse
100000693,14/12/24 16:37,Ethan Taylor,"Vacuum Cleaner, Spinach, Trash Bags, Light Bulbs",4,56.12,Mobile Payment,New York,30,Autumn,BOGO (Buy One Get One),Warehouse
100000694,05/11/24 1:52,Cindy Patterson,"Olive Oil, Salmon, Spinach",3,55.73,Debit Card,Houston,0,Winter,BOGO (Buy One Get One),Warehouse
100000695,27/11/22 13:56,Sarah Bennett,"Bread, Toothpaste, Salmon",3,89.9,Debit Card,Seattle,20,Spring,Discount on Selected Items,Warehouse
100000696,13/02/24 13:49,Adam Anderson,"Vacuum Cleaner, Salmon, Trash Bags",3,113.65,Debit Card,Seattle,5,Winter,BOGO (Buy One Get One),Warehouse
100000697,22/09/21 2:02,Rachel Kennedy,"Mustard, Garden Hose, Spinach",3,63.3,UPI,Miami,10,Summer,BOGO (Buy One Get One),Warehouse
100000698,27/12/22 10:52,Stephanie Lee,"Chicken, Light Bulbs, Soda, Shampoo",4,119.57,Debit Card,Boston,25,Spring,None,Warehouse
100000699,26/07/20 19:02,Brenda Huffman,"Bread, Shampoo",2,65.26,UPI,New York,25,Winter,BOGO (Buy One Get One),Warehouse
100000700,25/08/21 15:09,Dr. Pamela Mooney,"Olive Oil, Spinach, Soda, Dish Soap",4,118.49,Credit Card,Houston,5,Summer,BOGO (Buy One Get One),Warehouse
100000701,13/02/24 12:49,Susan Vasquez,Soda,1,13.16,Debit Card,Los Angeles,0,Spring,BOGO (Buy One Get One),Warehouse
100000702,21/12/23 8:19,Derrick Lopez,Shaving Cream,1,119.96,Credit Card,Houston,20,Summer,None,Warehouse
100000703,06/02/22 9:10,Terrance Fox,"Olive Oil, Trash Bags, Garden Hose, Chicken",4,66.67,UPI,Boston,25,Summer,None,Warehouse
100000704,03/03/20 21:40,Peter Lester,"Light Bulbs, Trash Bags, Soda",3,23.07,Debit Card,Miami,10,Spring,BOGO (Buy One Get One),Warehouse
100000705,16/01/25 2:09,Troy Sanders,Mustard,1,78.77,UPI,New York,10,Summer,None,Warehouse
100000706,14/01/26 19:08,Victoria Terrell,"Shaving Cream, Shampoo, Spinach, Bread",4,105.41,Mobile Payment,Seattle,25,Summer,BOGO (Buy One Get One),Warehouse
100000707,25/02/24 22:28,Gabriella Garcia,"Salmon, Paper Towels",2,94.45,Debit Card,Los Angeles,5,Spring,BOGO (Buy One Get One),Warehouse
100000708,14/01/23 14:17,Kara Davis,Paper Towels,1,72.42,Mobile Payment,New York,15,Autumn,BOGO (Buy One Get One),Warehouse
100000709,06/01/21 14:09,Stephanie Beasley,"Mustard, Paper Towels, Light Bulbs, Garden Hose",4,24.44,Debit Card,Chicago,20,Autumn,None,Warehouse
100000710,08/11/21 2:24,Michelle Day,"Toothpaste, Honey, Shampoo",3,118.57,Mobile Payment,New York,30,Spring,BOGO (Buy One Get One),Warehouse
100000711,02/03/20 3:54,Bryan Brandt,"Dish Soap, Hair Gel, Light Bulbs",3,104.9,Mobile Payment,Chicago,5,Winter,None,Warehouse
100000712,11/10/21 8:48,Bryan Garcia,"Shampoo, Hair Gel",2,97.51,Debit Card,Seattle,30,Winter,None,Warehouse
100000713,17/10/24 1:22,Reginald Evans,"Salmon, Toothpaste, Vacuum Cleaner, Shampoo",4,66.29,Credit Card,Seattle,30,Summer,BOGO (Buy One Get One),Warehouse
100000714,27/04/22 23:27,Vicki Cook,"Olive Oil, Dish Soap, Paper Towels, Shaving Cream",4,81.63,UPI,Chicago,20,Autumn,BOGO (Buy One Get One),Warehouse
100000715,09/08/22 18:36,Wendy Gomez,"Hair Gel, Garden Hose, Bread, Shaving Cream",4,53.12,UPI,Boston,5,Autumn,Discount on Selected Items,Warehouse
100000716,27/05/23 17:31,Christopher Wright,"Chicken, Soda",2,80.03,UPI,Miami,10,Spring,Discount on Selected Items,Warehouse
100000717,22/06/23 8:21,Justin Harris,"Hair Gel, Toothpaste",2,114.93,Mobile Payment,New York,10,Autumn,BOGO (Buy One Get One),Warehouse
100000718,09/04/20 14:41,Amber Ball,Trash Bags,1,17.89,Debit Card,Houston,15,Spring,None,Warehouse
100000719,10/07/23 12:10,Amanda Torres,"Shampoo, Honey, Toothpaste, Garden Hose",4,64.15,Credit Card,Los Angeles,5,Summer,BOGO (Buy One Get One),Warehouse
100000720,04/11/22 16:09,Clayton Howard,Toothpaste,1,96.01,UPI,Los Angeles,10,Spring,BOGO (Buy One Get One),Warehouse
100000721,29/07/24 6:47,Justin Le,"Garden Hose, Hair Gel, Light Bulbs, Spinach",4,24.29,Credit Card,Los Angeles,25,Autumn,None,Warehouse
100000722,11/10/21 18:59,Kevin Brown,"Dish Soap, Honey, Shaving Cream",3,10.56,Credit Card,Miami,0,Autumn,None,Warehouse
100000723,14/05/24 11:33,Tiffany Martin,"Garden Hose, Honey, Paper Towels",3,54.5,Debit Card,Boston,10,Spring,None,Warehouse
100000724,04/08/20 1:24,Lisa Fisher,"Bread, Hair Gel",2,94.5,Credit Card,Chicago,15,Winter,BOGO (Buy One Get One),Warehouse
100000725,22/08/22 13:18,Jeanette Brown,"Dish Soap, Vacuum Cleaner, Light Bulbs",3,54.82,Credit Card,Chicago,0,Winter,None,Warehouse
100000726,21/04/23 3:00,Beth Sims,"Mustard, Chicken, Toothpaste",3,67.28,Mobile Payment,Boston,30,Spring,BOGO (Buy One Get One),Warehouse
100000727,13/02/24 21:35,John Moran,"Soda, Bread, Ketchup",3,83.37,Credit Card,Houston,25,Autumn,Discount on Selected Items,Warehouse
100000728,18/12/24 8:17,Tiffany Bryant,"Shampoo, Mustard, Trash Bags",3,31.38,Credit Card,Chicago,25,Spring,None,Warehouse
100000729,25/07/24 11:55,Mary Clarke,Chicken,1,10.05,UPI,Houston,15,Spring,Discount on Selected Items,Warehouse
100000730,26/11/20 5:27,James Perry,"Spinach, Olive Oil",2,53.69,Debit Card,Seattle,0,Spring,BOGO (Buy One Get One),Warehouse
100000731,06/01/21 5:10,Eric Pitts,"Hair Gel, Honey, Ketchup",3,94.63,UPI,Los Angeles,10,Autumn,None,Warehouse
100000732,16/12/20 18:28,Angela Johnson,"Vacuum Cleaner, Dish Soap, Ketchup, Olive Oil",4,90.64,Mobile Payment,San Francisco,5,Winter,Discount on Selected Items,Warehouse
100000733,21/09/20 11:34,Katrina Washington MD,Olive Oil,1,17.03,Debit Card,San Francisco,25,Winter,Discount on Selected Items,Warehouse
100000734,02/12/21 4:34,Troy Chang,"Olive Oil, Ketchup, Salmon, Light Bulbs",4,116.86,Credit Card,Los Angeles,20,Autumn,BOGO (Buy One Get One),Warehouse
100000735,17/08/21 11:34,Alexander Torres,"Chicken, Mustard",2,27.15,UPI,Houston,25,Summer,Discount on Selected Items,Warehouse
100000736,17/09/23 7:29,David Davidson,"Honey, Vacuum Cleaner, Paper Towels",3,102.45,Mobile Payment,Seattle,15,Summer,BOGO (Buy One Get One),Warehouse
100000737,01/01/20 12:10,Jason Spencer,"Shampoo, Honey",2,59.27,Debit Card,Seattle,15,Spring,BOGO (Buy One Get One),Warehouse
100000738,27/02/23 12:49,Francisco Rubio,"Olive Oil, Mustard",2,16.5,Debit Card,Houston,10,Autumn,None,Warehouse
100000739,23/10/21 2:39,Crystal Tucker,"Toothpaste, Trash Bags, Soda, Paper Towels",4,106.32,Mobile Payment,Seattle,20,Autumn,Discount on Selected Items,Warehouse
100000740,23/04/23 10:49,Heather Johnson,"Ketchup, Dish Soap",2,115.72,Debit Card,Boston,15,Spring,None,Warehouse
100000741,21/02/22 1:35,Cole Newton,"Light Bulbs, Garden Hose, Chicken, Mustard",4,79.99,UPI,Chicago,5,Spring,BOGO (Buy One Get One),Warehouse
100000742,30/09/21 14:31,Isaac Johnson,"Honey, Hair Gel, Shampoo, Garden Hose",4,30.91,Credit Card,New York,10,Winter,BOGO (Buy One Get One),Warehouse
100000743,18/11/25 11:22,James Henry,"Shampoo, Light Bulbs, Dish Soap, Vacuum Cleaner",4,115.32,Mobile Payment,San Francisco,10,Autumn,Discount on Selected Items,Warehouse
100000744,16/02/24 11:35,Elizabeth Peters,"Hair Gel, Shaving Cream",2,105.65,Credit Card,Miami,10,Summer,None,Warehouse
100000745,07/06/25 22:33,Joyce Nguyen,Bread,1,94.41,UPI,Houston,25,Winter,Discount on Selected Items,Warehouse
100000746,25/01/20 2:48,Judy White,"Soda, Salmon, Vacuum Cleaner, Mustard",4,84.9,UPI,Chicago,25,Spring,Discount on Selected Items,Warehouse
100000747,19/12/25 16:55,Lisa Boyd PhD,"Dish Soap, Shaving Cream",2,49.96,Credit Card,New York,5,Autumn,None,Warehouse
100000748,28/11/20 2:06,Michael Thomas,"Olive Oil, Spinach, Shaving Cream",3,31.8,Debit Card,Miami,0,Spring,BOGO (Buy One Get One),Warehouse
100000749,10/07/25 9:32,Aaron Mays,Chicken,1,18.31,Mobile Payment,Chicago,5,Autumn,Discount on Selected Items,Warehouse
100000750,18/12/23 12:05,John Smith,"Ketchup, Salmon, Shampoo, Spinach",4,71.69,Mobile Payment,Boston,5,Autumn,None,Warehouse
100000751,12/08/21 3:54,Christy Thomas,Mustard,1,88.71,Debit Card,Chicago,20,Summer,None,Warehouse
100000752,25/03/22 4:58,Sheri Hamilton,"Light Bulbs, Shaving Cream",2,61.58,Mobile Payment,Los Angeles,25,Winter,None,Warehouse
100000753,24/05/21 18:28,Joseph Webb,"Bread, Hair Gel, Light Bulbs",3,66.74,Mobile Payment,Houston,30,Winter,None,Warehouse
100000754,23/07/22 12:13,Leah Ellis,Ketchup,1,34.9,Debit Card,Chicago,25,Autumn,BOGO (Buy One Get One),Warehouse
100000755,25/11/22 11:08,Justin Kelley,"Honey, Paper Towels",2,74.26,Debit Card,Seattle,5,Autumn,BOGO (Buy One Get One),Warehouse
100000756,16/07/22 6:26,Kayla Snyder,Toothpaste,1,82.23,UPI,Chicago,15,Spring,BOGO (Buy One Get One),Warehouse
100000757,21/12/22 22:32,Nicholas Robinson,"Trash Bags, Ketchup",2,54.42,UPI,Los Angeles,30,Summer,BOGO (Buy One Get One),Warehouse
100000758,28/02/21 3:03,Donna Wilson,"Paper Towels, Chicken",2,91.57,UPI,Seattle,5,Summer,BOGO (Buy One Get One),Warehouse
100000759,14/05/23 12:46,Mike Scott,"Mustard, Olive Oil, Salmon, Light Bulbs",4,77.34,Debit Card,Boston,15,Summer,Discount on Selected Items,Warehouse
100000760,21/02/22 16:29,Cindy Boyd,Light Bulbs,1,50.59,Mobile Payment,Seattle,10,Autumn,Discount on Selected Items,Warehouse
100000761,11/08/22 7:55,Krista Johnson,"Trash Bags, Shampoo, Paper Towels",3,99.94,Debit Card,Boston,30,Spring,Discount on Selected Items,Warehouse
100000762,01/02/23 3:34,Carly Nichols,"Soda, Honey, Trash Bags",3,82.16,Credit Card,San Francisco,10,Summer,Discount on Selected Items,Warehouse
100000763,14/02/23 6:42,Megan Swanson,"Olive Oil, Hair Gel, Ketchup",3,78.44,UPI,Chicago,25,Summer,Discount on Selected Items,Warehouse
100000764,06/02/26 4:08,Joseph Myers,"Trash Bags, Mustard, Dish Soap",3,36.68,Mobile Payment,Boston,0,Autumn,None,Warehouse
100000765,12/04/20 8:20,Samuel Miller,"Garden Hose, Spinach",2,84.74,Mobile Payment,Seattle,25,Spring,None,Warehouse
